Megnevezés,Referencia,Alsó doboz,Belsõ doboz,Mágneses beállító,Mágneses beállító rugó,Vezérlõkar hirtelenzáró ütközõkilincs nélkül,Vezérlõkar UNI,Vezérlõkar fekete,Mágneses,Termikus,Csatlórúd,Kapocs,Szegecs,Fedõ,Szorító,Központozó gyûrû,Vezérlõkar összekötõ,Vezérlõkar összekötõ csavar,Központi szegecs,Központi csavar,Külsõ doboz
20A B TRI ,3599426PA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11506,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
20A C TRI ,3599432UA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11506,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
20A D TRI ,3599432YA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11506,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A B TRI ,3599434JA,EEE11467,EEE11468,51006191AJ,51006192GA,,EEE11460,EEE11461,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A C TRI ,3599441SA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A D TRI ,3599432KA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A INTER TRI ,3599434WA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11470,EEE11504 - Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
32A B TRI ,3599433SA,,,,,,,,,0,,,,,,,,,,,
32A C TRI ,3599432LA,,,,,,,,,0,,,,,,,,,,,
32A D TRI ,3599435KA,,,,,,,,,0,,,,,,,,,,,
40A C TRI,3599432QA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A C TETRA / 4P,3599430DA,EEE11467,EEE11468,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
40A C TETRA / 4P,3599434BA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
